 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
ISMAX    BLAS                2           PCGRC    SMATH1A             3
 
 
 
                                      20
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
DPCGRC   DMATH1A            22           QDDER    SMATH3C            10
PERMA    SMATH10            21           DQDDER   DMATH3C            29
DPERMA   DMATH10            40           QDNG     SMATH4A            11
PERMU    SMATH10            21           DQDNG    DMATH4A            30
DPERMU   DMATH10            40           QDVAL    SMATH3C            10
PLOTP    SMATH10            21           DQDVAL   DMATH3C            29
DPLOTP   DMATH10            40           QPROG    SMATH8B            19
POLRG    SMATH9             20           DQPROG   DMATH8B            38
DPOLRG   DMATH9             39           QSINB    SMATH6             16
PPDER    SMATH3C            10           DQSINB   DMATH6             35
DPPDER   DMATH3C            29           QSINF    SMATH6             16
PPITG    SMATH3C            10           DQSINF   DMATH6             35
DPPITG   DMATH3C            29           QSINI    SMATH6             16
PPVAL    SMATH3C            10           DQSINI   DMATH6             35
DPPVAL   DMATH3C            29           RATCH    SMATH3C            10
SPRDCT   BLAS                2           DRATCH   DMATH3C            29
DPRDCT   BLAS                2           RCURV    SMATH3C            10
PRIME    SMATH10, DMATH10   21, 40       DRCURV   DMATH3C            29
QAND     SMATH4A            11           RECCF    SMATH4B            12
DQAND    DMATH4A            30           DRECCF   DMATH4B            31
QCOSB    SMATH6             16           RECQR    SMATH4B            12
DQCOSB   DMATH6             35           DRECQR   DMATH4B            31
QCOSF    SMATH6             16           RLINE    SMATH3C            10
DQCOSF   DMATH6             35           DRLINE   DMATH3C            29
QCOSI    SMATH6             16           RNGET    SMATH10, DMATH10   21, 40
DQCOSI   DMATH6             35           RNOPT    SMATH10, DMATH10   21, 40
QD2DR    SMATH3C            10           RNSET    MATHCORE            1
DQD2DR   DMATH3C            29           RNUN     SMATH10            21
QD2VL    SMATH3C            10           DRNUN    DMATH10            40
DQD2VL   DMATH3C            29           RNUNF    MATHCORE            1
QD3DR    SMATH3C            10           DRNUNF   MATHCORE            1
DQD3DR   DMATH3C            29           SROT     BLAS                2
QD3VL    SMATH3C            10           DROT     BLAS                2
DQD3VL   DMATH3C            29           CSROT    BLAS                2
QDAG     SMATH4A            11           ZDROT    BLAS                2
DQDAG    DMATH4A            30           SROTG    BLAS                2
QDAGI    SMATH4A            11           DROTG    BLAS                2
DQDAGI   DMATH4A            30           SROTM    BLAS                2
QDAGP    SMATH4A            11           DROTM    BLAS                2
DQDAGP   DMATH4A            30           CSROTM   BLAS                2
QDAGS    SMATH4A            11           ZDROTM   BLAS                2
DQDAGS   DMATH4A            30           SROTMG   BLAS                2
QDAWC    SMATH4A            11           DROTMG   BLAS                2
DQDAWC   DMATH4A            30           SSCAL    BLAS                2
QDAWF    SMATH4A            11           DSCAL    BLAS                2
DQDAWF   DMATH4A            30           CSCAL    BLAS                2
QDAWO    SMATH4A            11           ZSCAL    BLAS                2
DQDAWO   DMATH4A            30           CSSCAL   BLAS                2
QDAWS    SMATH4A            11           ZDSCAL   BLAS                2
DQDAWS   DMATH4A            30           ISET     BLAS                2
 
 
 
                                      21
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
SSET     BLAS                2           UMIDH    SMATH8A            18
DSET     BLAS                2           DUMIDH   DMATH8A            37
CSET     BLAS                2           UMINF    SMATH8A            18
ZSET     BLAS                2           DUMINF   DMATH8A            37
SRCH     SMATH10            21           UMING    SMATH8A            18
DSRCH    DMATH10            40           DUMING   DMATH8A            37
SSRCH    MATHCORE            1           UMPOL    SMATH8A            18
ISUM     BLAS                2           DUMPOL   DMATH8A            37
SSUM     BLAS                2           UNLSF    SMATH8A            18
DSUM     BLAS                2           DUNLSF   DMATH8A            37
SASUM    BLAS                2           UNLSJ    SMATH8A            18
DASUM    BLAS                2           DUNLSJ   DMATH8A            37
SCASUM   BLAS                2           UVMGS    SMATH8A            18
DZASUM   BLAS                2           DUVMGS   DMATH8A            37
ISUB     BLAS                2           UVMID    SMATH8A            18
SSUB     BLAS                2           DUVMID   DMATH8A            37
DSUB     BLAS                2           UVMIF    SMATH8A            18
CSUB     BLAS                2           DUVMIF   DMATH8A            37
ZSUB     BLAS                2           SVCAL    BLAS                2
SURF     SMATH3C            10           DVCAL    BLAS                2
DSURF    DMATH3C            29           CVCAL    BLAS                2
SVIBN    SMATH10, DMATH10   21, 40       ZVCAL    BLAS                2
SVIBP    SMATH10, DMATH10   21, 40       CSVCAL   BLAS                2
SVIGN    SMATH10, DMATH10   21, 40       ZDVCAL   BLAS                2
SVIGP    SMATH10, DMATH10   21, 40       VCONC    SMATH9             20
SVRBN    SMATH10            21           DVCONC   DMATH9             39
DSVRBN   DMATH10            40           VCONR    SMATH9             20
SVRBP    SMATH10            21           DVCONR   DMATH9             39
DSVRBP   DMATH10            40           WRCRL    SMATH10            21
SVRGN    SMATH10            21           DWRCRL   DMATH10            40
DSVRGN   DMATH10            40           WRCRN    SMATH10            21
SVRGP    SMATH10            21           DWRCRN   DMATH10            40
DSVRGP   DMATH10            40           WRIRL    SMATH10, DMATH10   21, 40
ISWAP    BLAS                2           WRIRN    SMATH10, DMATH10   21, 40
SSWAP    BLAS                2           WROPT    MATHCORE            1
DSWAP    BLAS                2           WRRRL    SMATH10            21
